PlantCARE_24206	GWHPBFSC009828 
PlantCARE_550	GWHPBFSC013925
PlantCARE_1064	GWHPBFSC005995
PlantCARE_1341	GWHPBFSC003353
PlantCARE_1677	GWHPBFSC003354
PlantCARE_2033	GWHPBFSC005071
PlantCARE_2362	GWHPBFSC020863
PlantCARE_2744	GWHPBFSC004568
PlantCARE_3071	GWHPBFSC018036
PlantCARE_3901	GWHPBFSC004318
PlantCARE_4337	GWHPBFSC017699
PlantCARE_5048	GWHPBFSC012749
PlantCARE_15523	GWHPBFSC019187
PlantCARE_16655	GWHPBFSC005170
PlantCARE_18542	GWHPBFSC022695
PlantCARE_18789	GWHPBFSC022146
PlantCARE_18974	GWHPBFSC016499
PlantCARE_19250	GWHPBFSC005585
PlantCARE_19478	GWHPBFSC005991
PlantCARE_19635	GWHPBFSC022076
PlantCARE_19770	GWHPBFSC014739
PlantCARE_19840	GWHPBFSC007577
PlantCARE_19982	GWHPBFSC016467
PlantCARE_20294	GWHPBFSC009794
PlantCARE_20518	GWHPBFSC013252
PlantCARE_20858	GWHPBFSC001276
PlantCARE_21629	GWHPBFSC003892
PlantCARE_21983	GWHPBFSC019144
PlantCARE_22254	GWHPBFSC012742
PlantCARE_22622	GWHPBFSC012747
PlantCARE_25440	GWHPBFSC012102
PlantCARE_25759	GWHPBFSC008324
PlantCARE_26032	GWHPBFSC000278
PlantCARE_26314	GWHPBFSC007253
PlantCARE_402	GWHPBFSC013926
PlantCARE_783	GWHPBFSC021945
PlantCARE_1227	GWHPBFSC016913
PlantCARE_1488	GWHPBFSC007071
PlantCARE_1835	GWHPBFSC017700
PlantCARE_2250	GWHPBFSC003355
PlantCARE_2543	GWHPBFSC020988
PlantCARE_2891	GWHPBFSC018035
PlantCARE_3458	GWHPBFSC012721
PlantCARE_4072	GWHPBFSC017698
PlantCARE_4926	GWHPBFSC012746
PlantCARE_15172	GWHPBFSC005169
PlantCARE_16200	GWHPBFSC019739
PlantCARE_18251	GWHPBFSC022694
PlantCARE_18738	GWHPBFSC000767
PlantCARE_18961	GWHPBFSC002138
PlantCARE_19119	GWHPBFSC012741
PlantCARE_19347	GWHPBFSC007569
PlantCARE_19513	GWHPBFSC007249
PlantCARE_19722	GWHPBFSC020803
PlantCARE_19840	GWHPBFSC007577
PlantCARE_19940	GWHPBFSC007246
PlantCARE_20149	GWHPBFSC016465
PlantCARE_20367	GWHPBFSC001275
PlantCARE_20708	GWHPBFSC016468
PlantCARE_21076	GWHPBFSC016463
PlantCARE_21833	GWHPBFSC017004
PlantCARE_22120	GWHPBFSC005993
PlantCARE_22469	GWHPBFSC020445
PlantCARE_25263	GWHPBFSC007173
PlantCARE_25626	GWHPBFSC017494
PlantCARE_25897	GWHPBFSC008325
PlantCARE_26193	GWHPBFSC000277
